entry_time,exit_time,dir,entry,exit,units,pnl,reason,equity
2026-02-20 10:30,2026-02-20 11:30,Long,19562.45,19462.45,3,-603.72,SL,2366.52
2026-02-20 13:00,2026-02-23 09:30,Short,19510.07,19610.07,3,-603.72,SL,1762.8
2026-02-24 10:15,2026-02-24 11:00,Short,19313.4,19213.4,2,397.52,TP1,2160.32
2026-02-24 10:15,2026-02-24 15:00,Short,19313.4,19413.4,1,-201.24,SL,1959.08
2026-02-25 15:45,2026-02-26 10:00,Long,19496.09,19396.09,3,-603.72,SL,1355.36
2026-02-26 12:15,2026-02-26 12:30,Long,19430.87,19330.87,3,-603.72,SL,751.64
2026-02-26 12:45,2026-02-26 13:45,Short,19355.71,19455.71,3,-603.72,SL,147.92
2026-02-27 10:45,2026-02-27 12:00,Short,19435.92,19335.92,2,397.52,TP1,545.44
2026-02-27 10:45,2026-02-27 12:15,Short,19435.92,19235.92,1,398.76,TP2,944.2
2026-02-27 14:00,2026-03-02 10:15,Short,19193.37,19293.37,3,-603.72,SL,340.48
2026-03-02 13:30,2026-03-02 14:45,Long,19503.29,19603.29,2,397.52,TP1,738.0
2026-03-02 13:30,2026-03-04 12:30,Long,19503.29,19703.29,1,398.76,TP2,1136.76
2026-03-04 15:15,2026-03-05 10:45,Long,19683.28,19583.28,3,-603.72,SL,533.04
2026-03-09 11:00,2026-03-09 12:15,Long,19175.66,19075.66,3,-603.72,SL,-70.68
2026-03-09 12:30,2026-03-09 13:30,Short,19069.11,19169.11,3,-603.72,SL,-674.4
2026-03-09 13:30,2026-03-10 10:15,Long,19182.47,19282.47,2,397.52,TP1,-276.88
2026-03-09 13:30,2026-03-11 13:45,Long,19182.47,19382.47,1,398.76,TP2,121.88
2026-03-11 15:00,2026-03-12 09:45,Long,19466.48,19366.48,3,-603.72,SL,-481.84
2026-03-12 11:30,2026-03-12 13:15,Long,19474.02,19574.02,2,397.52,TP1,-84.32
2026-03-12 11:30,2026-03-13 11:00,Long,19474.02,19374.02,1,-201.24,SL,-285.56
2026-03-13 12:15,2026-03-16 10:15,Short,19322.1,19222.1,2,397.52,TP1,111.96
2026-03-13 12:15,2026-03-16 11:30,Short,19322.1,19122.1,1,398.76,TP2,510.72
2026-03-17 13:15,2026-03-17 14:15,Short,18963.32,18863.32,2,397.52,TP1,908.24
2026-03-17 13:15,2026-03-18 11:00,Short,18963.32,18763.32,1,398.76,TP2,1307.0
2026-03-18 13:00,2026-03-18 15:30,Short,18784.08,18684.08,2,397.52,TP1,1704.52
2026-03-18 13:00,2026-03-18 15:45,Short,18784.08,18584.08,1,398.76,TP2,2103.28
2026-03-19 11:30,2026-03-19 14:15,Short,18601.0,18701.0,3,-603.72,SL,1499.56
2026-03-25 10:45,2026-03-25 14:15,Long,18327.11,18427.11,2,397.52,TP1,1897.08
2026-03-25 10:45,2026-03-25 14:30,Long,18327.11,18527.11,1,398.76,TP2,2295.84
2026-03-27 14:15,2026-03-27 14:30,Short,18098.06,18198.06,3,-603.72,SL,1692.12
2026-03-27 15:15,2026-03-30 09:45,Short,18125.45,18225.45,3,-603.72,SL,1088.4
2026-03-31 11:15,2026-03-31 12:15,Short,17865.93,17765.93,2,397.52,TP1,1485.92
2026-03-31 11:15,2026-03-31 13:30,Short,17865.93,17665.93,1,398.76,TP2,1884.68
2026-04-01 12:15,2026-04-01 13:00,Long,18105.74,18005.74,3,-603.72,SL,1280.96
2026-04-01 14:00,2026-04-01 15:00,Long,18066.02,18166.02,2,397.52,TP1,1678.48
2026-04-01 14:00,2026-04-02 11:45,Long,18066.02,18266.02,1,398.76,TP2,2077.24
2026-04-02 14:30,2026-04-03 09:30,Long,18355.11,18455.11,2,397.52,TP1,2474.76
2026-04-02 14:30,2026-04-03 10:45,Long,18355.11,18555.11,1,398.76,TP2,2873.52
2026-04-03 14:30,2026-04-06 09:45,Long,18704.56,18604.56,3,-603.72,SL,2269.8
2026-04-07 11:00,2026-04-07 11:15,Long,18679.14,18579.14,3,-603.72,SL,1666.08
2026-04-07 12:30,2026-04-07 12:45,Short,18475.43,18375.43,2,397.52,TP1,2063.6
2026-04-07 12:30,2026-04-07 13:15,Short,18475.43,18275.43,1,398.76,TP2,2462.36
2026-04-09 13:45,2026-04-10 11:00,Short,17351.4,17451.4,3,-603.72,SL,1858.64
2026-04-10 14:15,2026-04-10 15:45,Long,17697.3,17797.3,2,397.52,TP1,2256.16
2026-04-10 14:15,2026-04-13 14:45,Long,17697.3,17597.3,1,-201.24,SL,2054.92
